SerialNumber,DeviceUUID,OperatingSystem,OSVersion,KernelVersion,MacId,IMEI,ShippingDate,MicroControllerChipNumber,NetworkType,CommunicationProtocol,DataProtocol,IsWifiSupportAvailable,isStreamingMediaSupportAvailable,sensorType,FirmwareVersion,IsCertificateAdded,CertificatePath,IsL3,IsCapableOfPatching
SN23010001169,fcb0d1f9-2abb-4886-bb78-bf06e9d535e0,TINYOS,1.6.0.0,1.6.0.0,fcb0d1f9-2abb-4886-bb78-bf06e9d535e0,fcb0d1f9-2abb-4886-bb78-bf06e9d535e0,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001170,5cec844d-7763-47a9-9f8f-931010e6b5b6,TINYOS,1.6.0.0,1.6.0.0,5cec844d-7763-47a9-9f8f-931010e6b5b6,5cec844d-7763-47a9-9f8f-931010e6b5b6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001171,f2007d92-cff4-47a3-9049-b75b4427487f,TINYOS,1.6.0.0,1.6.0.0,f2007d92-cff4-47a3-9049-b75b4427487f,f2007d92-cff4-47a3-9049-b75b4427487f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001172,f0e18f4b-5567-42a6-a250-e8fc2528eab3,TINYOS,1.6.0.0,1.6.0.0,f0e18f4b-5567-42a6-a250-e8fc2528eab3,f0e18f4b-5567-42a6-a250-e8fc2528eab3,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001173,9c51905b-83dd-4369-80e3-6951d5d01a60,TINYOS,1.6.0.0,1.6.0.0,9c51905b-83dd-4369-80e3-6951d5d01a60,9c51905b-83dd-4369-80e3-6951d5d01a60,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001174,d0ae5fff-3c0a-4fb1-9e72-29be4ad76421,TINYOS,1.6.0.0,1.6.0.0,d0ae5fff-3c0a-4fb1-9e72-29be4ad76421,d0ae5fff-3c0a-4fb1-9e72-29be4ad76421,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001175,8297eb63-aaea-44ef-bb51-41334d97326a,TINYOS,1.6.0.0,1.6.0.0,8297eb63-aaea-44ef-bb51-41334d97326a,8297eb63-aaea-44ef-bb51-41334d97326a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001176,93ea311d-cf4e-4e72-997f-7df8b2e20aea,TINYOS,1.6.0.0,1.6.0.0,93ea311d-cf4e-4e72-997f-7df8b2e20aea,93ea311d-cf4e-4e72-997f-7df8b2e20aea,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001177,28025ed8-5806-4192-8305-64b178281509,TINYOS,1.6.0.0,1.6.0.0,28025ed8-5806-4192-8305-64b178281509,28025ed8-5806-4192-8305-64b178281509,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001178,c858f599-7f15-4137-b616-619b33a4ba75,TINYOS,1.6.0.0,1.6.0.0,c858f599-7f15-4137-b616-619b33a4ba75,c858f599-7f15-4137-b616-619b33a4ba75,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001179,8e7087bc-feac-47a0-9397-026ac242e23b,TINYOS,1.6.0.0,1.6.0.0,8e7087bc-feac-47a0-9397-026ac242e23b,8e7087bc-feac-47a0-9397-026ac242e23b,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001180,727d60fe-2b5c-4b1f-a384-6e4b13a8bbcb,TINYOS,1.6.0.0,1.6.0.0,727d60fe-2b5c-4b1f-a384-6e4b13a8bbcb,727d60fe-2b5c-4b1f-a384-6e4b13a8bbcb,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001181,746a2bb3-5805-4124-a421-18804cfc5814,TINYOS,1.6.0.0,1.6.0.0,746a2bb3-5805-4124-a421-18804cfc5814,746a2bb3-5805-4124-a421-18804cfc5814,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001182,3cd45cf1-c4de-4a36-90f5-763b9a6aa0fa,TINYOS,1.6.0.0,1.6.0.0,3cd45cf1-c4de-4a36-90f5-763b9a6aa0fa,3cd45cf1-c4de-4a36-90f5-763b9a6aa0fa,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001183,0ef6914a-c3f4-4535-8925-772c2b227656,TINYOS,1.6.0.0,1.6.0.0,0ef6914a-c3f4-4535-8925-772c2b227656,0ef6914a-c3f4-4535-8925-772c2b227656,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001184,8069cd95-3d3b-40d5-9f45-06dc9e432673,TINYOS,1.6.0.0,1.6.0.0,8069cd95-3d3b-40d5-9f45-06dc9e432673,8069cd95-3d3b-40d5-9f45-06dc9e432673,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001185,12a3c285-35ad-4b07-92ee-46bc627ae20e,TINYOS,1.6.0.0,1.6.0.0,12a3c285-35ad-4b07-92ee-46bc627ae20e,12a3c285-35ad-4b07-92ee-46bc627ae20e,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001186,7af90a64-b9a5-4df8-9c58-7e3a41d44ef8,TINYOS,1.6.0.0,1.6.0.0,7af90a64-b9a5-4df8-9c58-7e3a41d44ef8,7af90a64-b9a5-4df8-9c58-7e3a41d44ef8,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001187,bcfe6d90-b48d-482d-9586-9c19930c2d08,TINYOS,1.6.0.0,1.6.0.0,bcfe6d90-b48d-482d-9586-9c19930c2d08,bcfe6d90-b48d-482d-9586-9c19930c2d08,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001188,1cf80f2b-63e4-4b29-8aff-70aeb31673ac,TINYOS,1.6.0.0,1.6.0.0,1cf80f2b-63e4-4b29-8aff-70aeb31673ac,1cf80f2b-63e4-4b29-8aff-70aeb31673ac,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001189,916366cd-c35a-42a7-bb04-9041205e2c17,TINYOS,1.6.0.0,1.6.0.0,916366cd-c35a-42a7-bb04-9041205e2c17,916366cd-c35a-42a7-bb04-9041205e2c17,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001190,4d40fbbb-98be-4e32-afbe-359789d61b57,TINYOS,1.6.0.0,1.6.0.0,4d40fbbb-98be-4e32-afbe-359789d61b57,4d40fbbb-98be-4e32-afbe-359789d61b57,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001191,4265df2e-8cf5-4e78-9c89-b2dc8caca2ae,TINYOS,1.6.0.0,1.6.0.0,4265df2e-8cf5-4e78-9c89-b2dc8caca2ae,4265df2e-8cf5-4e78-9c89-b2dc8caca2ae,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001192,058ce976-0425-441c-9cfb-081c252d97b6,TINYOS,1.6.0.0,1.6.0.0,058ce976-0425-441c-9cfb-081c252d97b6,058ce976-0425-441c-9cfb-081c252d97b6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001193,dbb94403-2e43-459d-8032-ad5399abf05d,TINYOS,1.6.0.0,1.6.0.0,dbb94403-2e43-459d-8032-ad5399abf05d,dbb94403-2e43-459d-8032-ad5399abf05d,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001194,dad4bee1-a0dc-4ad6-a09b-43200db8d032,TINYOS,1.6.0.0,1.6.0.0,dad4bee1-a0dc-4ad6-a09b-43200db8d032,dad4bee1-a0dc-4ad6-a09b-43200db8d032,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001195,f0f92d83-e109-4dea-9e68-7f677c371db3,TINYOS,1.6.0.0,1.6.0.0,f0f92d83-e109-4dea-9e68-7f677c371db3,f0f92d83-e109-4dea-9e68-7f677c371db3,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001196,a2963486-ec64-4455-993c-3b30c38f8a20,TINYOS,1.6.0.0,1.6.0.0,a2963486-ec64-4455-993c-3b30c38f8a20,a2963486-ec64-4455-993c-3b30c38f8a20,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001197,4f0a6f40-f681-4482-b8a8-036bb54c780c,TINYOS,1.6.0.0,1.6.0.0,4f0a6f40-f681-4482-b8a8-036bb54c780c,4f0a6f40-f681-4482-b8a8-036bb54c780c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001198,f271ec66-c2bd-4cbe-aeb6-a4ab09d6c41c,TINYOS,1.6.0.0,1.6.0.0,f271ec66-c2bd-4cbe-aeb6-a4ab09d6c41c,f271ec66-c2bd-4cbe-aeb6-a4ab09d6c41c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001199,bc959117-c508-4354-80b3-850a7547bbd2,TINYOS,1.6.0.0,1.6.0.0,bc959117-c508-4354-80b3-850a7547bbd2,bc959117-c508-4354-80b3-850a7547bbd2,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001200,754ae9b7-88b9-468e-9ab0-259452a3aca0,TINYOS,1.6.0.0,1.6.0.0,754ae9b7-88b9-468e-9ab0-259452a3aca0,754ae9b7-88b9-468e-9ab0-259452a3aca0,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001201,fbb07791-fe83-49f6-bdeb-67278156074a,TINYOS,1.6.0.0,1.6.0.0,fbb07791-fe83-49f6-bdeb-67278156074a,fbb07791-fe83-49f6-bdeb-67278156074a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001202,8463b5e6-7661-42ca-a88e-805aea6b7b8f,TINYOS,1.6.0.0,1.6.0.0,8463b5e6-7661-42ca-a88e-805aea6b7b8f,8463b5e6-7661-42ca-a88e-805aea6b7b8f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001203,fa13a5af-af12-489e-bc44-579938bb8fd1,TINYOS,1.6.0.0,1.6.0.0,fa13a5af-af12-489e-bc44-579938bb8fd1,fa13a5af-af12-489e-bc44-579938bb8fd1,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001204,c700ff16-c5c7-472d-9288-e73e3462432f,TINYOS,1.6.0.0,1.6.0.0,c700ff16-c5c7-472d-9288-e73e3462432f,c700ff16-c5c7-472d-9288-e73e3462432f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001205,45dea3bf-17e5-4fef-b8f5-477afa62d7f0,TINYOS,1.6.0.0,1.6.0.0,45dea3bf-17e5-4fef-b8f5-477afa62d7f0,45dea3bf-17e5-4fef-b8f5-477afa62d7f0,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001206,70d77321-7753-41f4-b492-7aa217947b53,TINYOS,1.6.0.0,1.6.0.0,70d77321-7753-41f4-b492-7aa217947b53,70d77321-7753-41f4-b492-7aa217947b53,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001207,3e13a4ab-e7fc-4f86-b5a1-3dbec0b82203,TINYOS,1.6.0.0,1.6.0.0,3e13a4ab-e7fc-4f86-b5a1-3dbec0b82203,3e13a4ab-e7fc-4f86-b5a1-3dbec0b82203,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001208,aae2b685-2cfe-426d-9974-4d2221cc1ddc,TINYOS,1.6.0.0,1.6.0.0,aae2b685-2cfe-426d-9974-4d2221cc1ddc,aae2b685-2cfe-426d-9974-4d2221cc1ddc,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001209,bbc17329-51d7-45ed-8451-af41a6fda84c,TINYOS,1.6.0.0,1.6.0.0,bbc17329-51d7-45ed-8451-af41a6fda84c,bbc17329-51d7-45ed-8451-af41a6fda84c,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001210,84d9186a-0877-4b3b-a413-9b06dcac5fc6,TINYOS,1.6.0.0,1.6.0.0,84d9186a-0877-4b3b-a413-9b06dcac5fc6,84d9186a-0877-4b3b-a413-9b06dcac5fc6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001211,1602d727-d7ad-41ec-b7fe-2c2731982507,TINYOS,1.6.0.0,1.6.0.0,1602d727-d7ad-41ec-b7fe-2c2731982507,1602d727-d7ad-41ec-b7fe-2c2731982507,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001212,e2c47e1e-f89d-48f4-b92f-c1c36e020963,TINYOS,1.6.0.0,1.6.0.0,e2c47e1e-f89d-48f4-b92f-c1c36e020963,e2c47e1e-f89d-48f4-b92f-c1c36e020963,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001213,b3967569-ee42-4b84-916a-27b11ec1b4f7,TINYOS,1.6.0.0,1.6.0.0,b3967569-ee42-4b84-916a-27b11ec1b4f7,b3967569-ee42-4b84-916a-27b11ec1b4f7,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001214,2ab6dedd-c087-4e27-9df7-7e8a21afa0b7,TINYOS,1.6.0.0,1.6.0.0,2ab6dedd-c087-4e27-9df7-7e8a21afa0b7,2ab6dedd-c087-4e27-9df7-7e8a21afa0b7,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001215,91ff35c6-7280-43b0-9185-5ae8694925d9,TINYOS,1.6.0.0,1.6.0.0,91ff35c6-7280-43b0-9185-5ae8694925d9,91ff35c6-7280-43b0-9185-5ae8694925d9,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001216,5feb1752-5ec2-427b-a11e-c87fa9c237b6,TINYOS,1.6.0.0,1.6.0.0,5feb1752-5ec2-427b-a11e-c87fa9c237b6,5feb1752-5ec2-427b-a11e-c87fa9c237b6,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001217,9bcfe0d3-eb54-432f-afa6-47b91b92a716,TINYOS,1.6.0.0,1.6.0.0,9bcfe0d3-eb54-432f-afa6-47b91b92a716,9bcfe0d3-eb54-432f-afa6-47b91b92a716,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001218,255d19bf-dd32-4352-bc69-9ae72044afcf,TINYOS,1.6.0.0,1.6.0.0,255d19bf-dd32-4352-bc69-9ae72044afcf,255d19bf-dd32-4352-bc69-9ae72044afcf,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001219,d07359dc-1375-48ee-9da8-3b0b261b3e95,TINYOS,1.6.0.0,1.6.0.0,d07359dc-1375-48ee-9da8-3b0b261b3e95,d07359dc-1375-48ee-9da8-3b0b261b3e95,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001220,3756b9b9-83de-4f33-9cdb-ee5b2cb6ea5a,TINYOS,1.6.0.0,1.6.0.0,3756b9b9-83de-4f33-9cdb-ee5b2cb6ea5a,3756b9b9-83de-4f33-9cdb-ee5b2cb6ea5a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001221,97171bbd-096a-4a2f-99ae-052eede67418,TINYOS,1.6.0.0,1.6.0.0,97171bbd-096a-4a2f-99ae-052eede67418,97171bbd-096a-4a2f-99ae-052eede67418,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001222,97907766-757b-4180-b642-d2f95bc6ec45,TINYOS,1.6.0.0,1.6.0.0,97907766-757b-4180-b642-d2f95bc6ec45,97907766-757b-4180-b642-d2f95bc6ec45,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001223,464f040b-fe63-4955-abc0-83c36b4f8c1f,TINYOS,1.6.0.0,1.6.0.0,464f040b-fe63-4955-abc0-83c36b4f8c1f,464f040b-fe63-4955-abc0-83c36b4f8c1f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001224,d0b90f39-204d-405e-87b9-f064243a466f,TINYOS,1.6.0.0,1.6.0.0,d0b90f39-204d-405e-87b9-f064243a466f,d0b90f39-204d-405e-87b9-f064243a466f,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001225,8657dd0a-1c0a-490f-bb9d-34431ac8e21e,TINYOS,1.6.0.0,1.6.0.0,8657dd0a-1c0a-490f-bb9d-34431ac8e21e,8657dd0a-1c0a-490f-bb9d-34431ac8e21e,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001226,256739b4-afd7-420b-b007-334c4dae3fda,TINYOS,1.6.0.0,1.6.0.0,256739b4-afd7-420b-b007-334c4dae3fda,256739b4-afd7-420b-b007-334c4dae3fda,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001227,fb83c627-4ef0-4d10-877c-b062b106d7f9,TINYOS,1.6.0.0,1.6.0.0,fb83c627-4ef0-4d10-877c-b062b106d7f9,fb83c627-4ef0-4d10-877c-b062b106d7f9,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001228,f8b05eb9-cf1a-43b2-9acc-d297851cca1e,TINYOS,1.6.0.0,1.6.0.0,f8b05eb9-cf1a-43b2-9acc-d297851cca1e,f8b05eb9-cf1a-43b2-9acc-d297851cca1e,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001229,5abd6af1-463e-4493-9e75-eee174f1b7fc,TINYOS,1.6.0.0,1.6.0.0,5abd6af1-463e-4493-9e75-eee174f1b7fc,5abd6af1-463e-4493-9e75-eee174f1b7fc,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001230,1e4bcbdd-7c4c-4892-8510-10409787c62d,TINYOS,1.6.0.0,1.6.0.0,1e4bcbdd-7c4c-4892-8510-10409787c62d,1e4bcbdd-7c4c-4892-8510-10409787c62d,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001231,0561af4a-536f-45b3-8b23-f9b7b1b5ed82,TINYOS,1.6.0.0,1.6.0.0,0561af4a-536f-45b3-8b23-f9b7b1b5ed82,0561af4a-536f-45b3-8b23-f9b7b1b5ed82,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001232,3d04e149-49a5-4dde-96d5-eff5841c9daa,TINYOS,1.6.0.0,1.6.0.0,3d04e149-49a5-4dde-96d5-eff5841c9daa,3d04e149-49a5-4dde-96d5-eff5841c9daa,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001233,a0f95303-25c1-4eea-a827-cb1f67016544,TINYOS,1.6.0.0,1.6.0.0,a0f95303-25c1-4eea-a827-cb1f67016544,a0f95303-25c1-4eea-a827-cb1f67016544,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001234,c29be4ae-e66d-465f-8d77-bb516519bb27,TINYOS,1.6.0.0,1.6.0.0,c29be4ae-e66d-465f-8d77-bb516519bb27,c29be4ae-e66d-465f-8d77-bb516519bb27,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001235,859c000c-43dd-4ab9-8d89-ee048c86b404,TINYOS,1.6.0.0,1.6.0.0,859c000c-43dd-4ab9-8d89-ee048c86b404,859c000c-43dd-4ab9-8d89-ee048c86b404,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001236,85f5c0eb-a159-487b-bb08-d24e0eae029a,TINYOS,1.6.0.0,1.6.0.0,85f5c0eb-a159-487b-bb08-d24e0eae029a,85f5c0eb-a159-487b-bb08-d24e0eae029a,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001237,532c096e-4496-4330-8060-faa14bdfce57,TINYOS,1.6.0.0,1.6.0.0,532c096e-4496-4330-8060-faa14bdfce57,532c096e-4496-4330-8060-faa14bdfce57,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001238,71231e9e-518b-4295-8c82-7819b9c433ff,TINYOS,1.6.0.0,1.6.0.0,71231e9e-518b-4295-8c82-7819b9c433ff,71231e9e-518b-4295-8c82-7819b9c433ff,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001239,c8dee313-2eac-4270-9f2c-4b85d9a39d56,TINYOS,1.6.0.0,1.6.0.0,c8dee313-2eac-4270-9f2c-4b85d9a39d56,c8dee313-2eac-4270-9f2c-4b85d9a39d56,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001240,e90eb481-4fa1-495a-9638-f5f1a3ab67c7,TINYOS,1.6.0.0,1.6.0.0,e90eb481-4fa1-495a-9638-f5f1a3ab67c7,e90eb481-4fa1-495a-9638-f5f1a3ab67c7,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001241,bfeb1081-b2fc-4a73-bc1c-c8107362e324,TINYOS,1.6.0.0,1.6.0.0,bfeb1081-b2fc-4a73-bc1c-c8107362e324,bfeb1081-b2fc-4a73-bc1c-c8107362e324,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001242,0bd56161-030b-4746-8c26-652ba81c55df,TINYOS,1.6.0.0,1.6.0.0,0bd56161-030b-4746-8c26-652ba81c55df,0bd56161-030b-4746-8c26-652ba81c55df,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001243,3423b74f-a2fd-4f45-a834-480412d364ed,TINYOS,1.6.0.0,1.6.0.0,3423b74f-a2fd-4f45-a834-480412d364ed,3423b74f-a2fd-4f45-a834-480412d364ed,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001244,5a04b0dc-b72c-4e98-9818-8ec4422ff576,TINYOS,1.6.0.0,1.6.0.0,5a04b0dc-b72c-4e98-9818-8ec4422ff576,5a04b0dc-b72c-4e98-9818-8ec4422ff576,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001245,dd7de760-7408-4e5d-930d-7ed604fdc448,TINYOS,1.6.0.0,1.6.0.0,dd7de760-7408-4e5d-930d-7ed604fdc448,dd7de760-7408-4e5d-930d-7ed604fdc448,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001246,d7cb99ed-d4ba-4fd9-bc2d-4b3e7d423191,TINYOS,1.6.0.0,1.6.0.0,d7cb99ed-d4ba-4fd9-bc2d-4b3e7d423191,d7cb99ed-d4ba-4fd9-bc2d-4b3e7d423191,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
SN23010001247,a742fa86-4f57-49f1-a9f1-8546d8f21cc3,TINYOS,1.6.0.0,1.6.0.0,a742fa86-4f57-49f1-a9f1-8546d8f21cc3,a742fa86-4f57-49f1-a9f1-8546d8f21cc3,26-10-2020,Atmega256-rfr2,WIRELESS,6LoWPAN,COAP,NO,NO,actisen,1.6.0.0,NO,,NO,YES
